Tracking for reliability and logistics - see the Data Manifest for collection metadata,,,,,,,,,
ray 2026-05-01 - 80min = 52% battery consumed; ~2:30 for a full charge,,,,,,,,,
"indoor: an relatively contained indoor area, e.g., a single floor in a building",,,,stairs: an indoor trace consisting primarily of stairwells,,,campus: a long trace including areas in several different buildings,,
room: a trace contained within a single room,,,,"park: data collection in a park (e.g., frick, schenley)",,,outdoor: data collection outdoors (but not in a park),,
,,,,,,,,,
date,user,location,type,movement,duration (min),collection,processing,notes,
2026.04.26,ray,"cic.l, cic.ll",indoor,forward,6,pass,minor issue,,event cameras not properly synchronized
,ray,"cic.l, cic.ll",indoor,lateral,6,pass,minor issue,,event cameras not properly synchronized
,ray,"cic.l, cic.ll",indoor,backward,6,pass,minor issue,,event cameras not properly synchronized
2026.04.27,tianshu,cic.2,indoor,forward,10,fail,-,"both event cameras, thermal_right dropped out after 1 min",
,tianshu,cic.2,indoor,lateral,10,fail,-,did not identify previous failure before recording.,
,tianshu,cic.2,indoor,lateral,10,fail,-,"both event cameras, thermal_right dropped out after ~10 min",
,tianshu,cic.2,indoor,forward,10,pass,minor issue,,event cameras not properly synchronized
,tianshu,cic.2,indoor,lateral,10,pass,minor issue,,event cameras not properly synchronized
,tianshu,cic.2,indoor,backward,10,pass,minor issue,there were some issues with trigger detection on the zed; I replaced the actual data rate with the nominal 30.0hz rate in as_ticks to fix this,event cameras not properly synchronized
,tianshu,cic.4,indoor,forward,15,fail,-,event_right dropped out after 1 min,
,tianshu,cic.garage,indoor,forward,,fail,-,"both event cameras, thermal_right dropped out",
,tianshu,cic.garage,indoor,lateral,15,fail,-,entire USB hub dropped out after 60s,
,tianshu,cic.stairs,indoor,forward,3,fail,minor issue,almost all radar frames contain dropped packets,event cameras not properly synchronized
2026.04.28,tianshu,cic.stairs,stairs,forward,5,pass,minor issue,"some glitches on initialization after I climbed some stairs, but went away after re-init. Actual collection (climbing up and down stairs) had no errors.",event cameras not properly synchronized
,ray,cic.garage,indoor,forward,7,fail,-,"both event cameras, thermal_right dropped out after 7 minutes. Thermal_right is in USB 2 mode.",
,ray,(lab test),indoor,-,5,fail,-,"both event cameras, thermal_right dropped out after 5 minutes. Thermal_right is in USB 2 mode. Movement is shaking while pointing at LED lights.",
,nicholas,cic.garage,indoor,forward,15,pass,minor issue,"zed has many dropped frames: 89, 68, 19 are biggest chunks. Time sync might not resume accurately after these jumps.",
2026.04.30,jihwan,cic.garage,indoor,forward,16,pass,minor issue,"zed has many dropped frames, up to 59 frames",high event camera drop rate
,parv,cic.garage,indoor,-,2,fail,-,USB C cable is loose on the sensor head,
,tianshu,wean.4,indoor,forward,10,pass,pass,,high event camera drop rate
,tianshu,wean.4,indoor,lateral,10,recovered,pass,"Zed dropped out after ~30 seconds. Re-initialized drivers, restarted recording, and the error cleared.",high event camera drop rate
,tianshu,wean.4,indoor,backward,10,pass,pass,,high event camera drop rate
,parv,"nsh.3, nsh.4",indoor,forward,10,fail,-,disk disconnected physically,
,parv,nsh.2,indoor,forward,3,pass,pass,,high event camera drop rate
,parv,nsh.2,indoor,backward,3,pass,pass,,high event camera drop rate
,parv,"nsh.3, nsh.4",indoor,backward,11,pass,pass,,high event camera drop rate
2026.05.01,tianshu,wean.3,indoor,forward,9,pass,pass,,
,tianshu,wean.2,indoor,forward,3,pass,pass,,
,tianshu,wean.stairs,stairs,forward,4,pass,pass,,
,tianshu,wean.5,indoor,forward,6,pass,pass,,
