"This sheet is automatically generated; do not edit manually. Use tstk metadata to export a CSV of the recorded traces. copy+paste into this spreadsheet, then use the ""split text to columns"" option in the paste icon. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
total,21:10:12,,quality check,odom check,trace,user,location,type,motion,duration,notes,errata,,
jihwan,5:21:18,,v,,2026-04-26-14-07-07,ray,"cic.l, cic.ll",indoor,forward,376.05,,event cameras not synchronized with each other,sensor dust on thermal_right,
tianshu,5:07:28,,v,,2026-04-26-14-54-46,ray,"cic.l, cic.ll",indoor,lateral,383.2,,event cameras not synchronized with each other,sensor dust on thermal_right,
ray,4:31:36,,v,,2026-04-26-15-04-11,ray,"cic.l, cic.ll",indoor,backward,397.93,,event cameras not synchronized with each other,sensor dust on thermal_right,
nicholas,1:41:35,,v,,2026-04-27-11-46-58,tianshu,cic.2,indoor,forward,572.51,,event cameras not synchronized with each other,sensor dust on thermal_right,
bill,1:31:04,,v,,2026-04-27-11-58-57,tianshu,cic.2,indoor,lateral,622.07,,event cameras not synchronized with each other,sensor dust on thermal_right,
parv,1:17:42,,v,,2026-04-27-12-11-59,tianshu,cic.2,indoor,backward,576.23,,event cameras not synchronized with each other,sensor dust on thermal_right,
ayaan,0:54:09,,v,,2026-04-28-10-47-39,tianshu,cic.stairs,stairs,forward,314,"""vertical loop"" walking up one stairwell and down another stairwell",event cameras not synchronized with each other,sensor dust on thermal_right,
wasmir,0:24:55,,v,,2026-04-28-18-51-09,nicholas,cic.garage,indoor,forward,918.49,,large camera frame drops,sensor dust on thermal_right,
stephanie,0:20:25,,v,,2026-04-30-15-18-27,jihwan,cic.garage,indoor,forward,881.93,,large camera frame drops,,
,,,v,,2026-04-30-17-30-11,tianshu,wean.4,indoor,forward,699.77,,,,
,,,v,,2026-04-30-17-45-17,tianshu,wean.4,indoor,lateral,587.86,,,,
,,,v,,2026-04-30-17-58-37,tianshu,wean.4,indoor,backward,615.26,,,,
,,,v,,2026-04-30-20-13-30,parv,nsh.2,indoor,forward,113.34,,,,
,,,v,,2026-04-30-20-19-26,parv,nsh.2,indoor,backward,191.3,,,,
,,,v,,2026-04-30-20-25-41,parv,nsh.3-4,indoor,backward,684.87,,,,
,,,v,,2026-05-01-11-22-58,tianshu,wean.3,indoor,forward,539.93,,,,
,,,v,,2026-05-01-11-33-17,tianshu,wean.2,indoor,forward,166.47,,,,
,,,v,,2026-05-01-11-37-41,tianshu,wean.stairs,stairs,forward,267.66,,,,
,,,v,,2026-05-01-11-44-13,tianshu,wean.5,indoor,forward,366.97,,,,
,,,v,,2026-05-01-11-51-52,tianshu,wean.6,indoor,forward,446.56,,,,
,,,v,,2026-05-01-12-01-45,tianshu,wean.7500,room,forward,188.13,walking in different patterns around the wean 7500 lecture hall,high event camera trigger drop rate,,
,,,v,,2026-05-01-12-05-43,tianshu,wean.7,indoor,forward,455.24,,high event camera trigger drop rate,,
forward,11:37:09,,v,,2026-05-01-12-14-41,tianshu,wean.8,indoor,forward,287.91,,high event camera trigger drop rate,,
lateral,3:30:01,,v,,2026-05-01-12-45-43,ray,nsh.2,indoor,forward,295.8,,high event camera trigger drop rate,,
